family	size	seed	label	status	L	k	E	max_coeff_bits	coeff_bound_bits	dig	legacy_dig96_exact
dense	20	12	dense_N20_seed12	ok	3	5	81	22	25	26	1
dense	20	13	dense_N20_seed13	ok	6	8	65	21	33	34	1
dense	20	14	dense_N20_seed14	ok	7	9	75	23	37	38	1
dense	20	15	dense_N20_seed15	ok	4	6	65	21	27	28	1
dense	20	16	dense_N20_seed16	ok	4	6	72	22	28	29	1
dense	20	17	dense_N20_seed17	ok	3	5	70	21	24	25	1
dense	20	18	dense_N20_seed18	ok	3	5	75	21	25	26	1
dense	20	19	dense_N20_seed19	ok	4	6	79	23	29	30	1
dense	20	20	dense_N20_seed20	ok	3	5	82	22	25	26	1
dense	20	21	dense_N20_seed21	ok	5	7	71	23	31	32	1
dense	20	22	dense_N20_seed22	ok	3	5	71	21	24	25	1
dense	20	23	dense_N20_seed23	ok	5	7	70	23	31	32	1
dense	20	24	dense_N20_seed24	ok	3	5	71	21	24	25	1
dense	20	25	dense_N20_seed25	ok	3	5	81	22	25	26	1
dense	20	26	dense_N20_seed26	ok	3	5	78	21	25	26	1
dense	20	27	dense_N20_seed27	ok	3	5	69	21	24	25	1
dense	20	28	dense_N20_seed28	ok	3	5	64	20	23	24	1
dense	20	29	dense_N20_seed29	ok	3	5	78	21	25	26	1
dense	20	30	dense_N20_seed30	ok	5	7	69	22	31	32	1
dense	20	31	dense_N20_seed31	ok	3	5	69	20	24	25	1
dense	20	32	dense_N20_seed32	ok	3	5	77	21	25	26	1
dense	20	33	dense_N20_seed33	ok	4	6	72	22	28	29	1
dense	20	34	dense_N20_seed34	ok	3	5	72	21	24	25	1
dense	20	35	dense_N20_seed35	ok	3	5	77	21	25	26	1
dense	20	36	dense_N20_seed36	ok	3	5	73	21	24	25	1
dense	20	37	dense_N20_seed37	ok	3	5	85	22	25	26	1
dense	20	38	dense_N20_seed38	ok	3	5	80	22	25	26	1
dense	20	39	dense_N20_seed39	ok	6	8	77	24	35	36	1
dense	20	40	dense_N20_seed40	ok	3	5	79	21	25	26	1
dense	30	1	dense_N30_seed1	ok	3	5	116	26	28	29	1
dense	30	2	dense_N30_seed2	ok	3	5	119	26	28	29	1
dense	30	3	dense_N30_seed3	ok	3	5	112	25	27	28	1
dense	30	4	dense_N30_seed4	ok	3	5	98	24	27	28	1
dense	30	5	dense_N30_seed5	ok	6	8	113	33	39	40	1
dense	30	6	dense_N30_seed6	ok	3	5	111	25	27	28	1
dense	30	7	dense_N30_seed7	ok	3	5	119	26	28	29	1
dense	30	8	dense_N30_seed8	ok	5	7	111	31	35	36	1
dense	30	9	dense_N30_seed9	ok	3	5	112	25	27	28	1
dense	30	10	dense_N30_seed10	ok	3	5	114	25	28	29	1
dense	30	11	dense_N30_seed11	ok	4	6	126	29	33	34	1
dense	30	12	dense_N30_seed12	ok	4	6	122	29	32	33	1
dense	30	13	dense_N30_seed13	ok	3	5	111	25	27	28	1
dense	30	14	dense_N30_seed14	ok	8	10	110	35	46	47	1
dense	30	15	dense_N30_seed15	ok	3	5	94	24	26	27	1
dense	30	16	dense_N30_seed16	ok	5	7	113	31	36	37	1
dense	30	17	dense_N30_seed17	ok	3	5	108	25	27	28	1
dense	30	18	dense_N30_seed18	ok	3	5	121	26	28	29	1
dense	30	19	dense_N30_seed19	ok	3	5	117	26	28	29	1
dense	30	20	dense_N30_seed20	ok	4	6	114	29	32	33	1
dense	30	21	dense_N30_seed21	ok	3	5	107	25	27	28	1
dense	30	22	dense_N30_seed22	ok	4	6	124	29	33	34	1
dense	30	23	dense_N30_seed23	ok	3	5	98	24	27	28	1
dense	30	24	dense_N30_seed24	ok	3	5	111	25	27	28	1
dense	30	25	dense_N30_seed25	ok	3	5	104	25	27	28	1
dense	30	26	dense_N30_seed26	ok	6	8	102	32	38	39	1
dense	30	27	dense_N30_seed27	ok	3	5	104	25	27	28	1
dense	30	28	dense_N30_seed28	ok	4	6	110	28	31	32	1
dense	30	29	dense_N30_seed29	ok	3	5	103	25	27	28	1
dense	30	30	dense_N30_seed30	ok	3	5	110	25	27	28	1
dense	30	31	dense_N30_seed31	ok	3	5	107	25	27	28	1
dense	30	32	dense_N30_seed32	ok	3	5	121	26	28	29	1
dense	30	33	dense_N30_seed33	ok	4	6	114	29	32	33	1
dense	30	34	dense_N30_seed34	ok	3	5	99	24	27	28	1
dense	30	35	dense_N30_seed35	ok	3	5	117	26	28	29	1
dense	30	36	dense_N30_seed36	ok	3	5	106	25	27	28	1
dense	30	37	dense_N30_seed37	ok	5	7	120	32	36	37	1
dense	30	38	dense_N30_seed38	ok	3	5	116	26	28	29	1
dense	30	39	dense_N30_seed39	ok	3	5	114	26	28	29	1
dense	30	40	dense_N30_seed40	ok	3	5	117	26	28	29	1
dense	40	1	dense_N40_seed1	ok	4	6	149	32	34	35	1
dense	40	2	dense_N40_seed2	ok	3	5	153	28	30	31	1
dense	40	3	dense_N40_seed3	ok	3	5	162	29	30	31	1
dense	40	4	dense_N40_seed4	ok	3	5	149	28	30	31	1
dense	40	5	dense_N40_seed5	ok	3	5	164	29	30	31	1
dense	40	6	dense_N40_seed6	ok	4	6	151	32	34	35	1
dense	40	7	dense_N40_seed7	ok	5	7	144	35	38	39	1
dense	40	8	dense_N40_seed8	ok	4	6	146	32	34	35	1
dense	40	9	dense_N40_seed9	ok	3	5	150	28	30	31	1
dense	40	10	dense_N40_seed10	ok	6	8	155	39	43	44	1
dense	40	11	dense_N40_seed11	ok	5	7	168	36	40	41	1
dense	40	12	dense_N40_seed12	ok	3	5	168	29	30	31	1
dense	40	13	dense_N40_seed13	ok	5	7	158	36	39	40	1
dense	40	14	dense_N40_seed14	ok	3	5	150	28	30	31	1
dense	40	15	dense_N40_seed15	ok	3	5	142	28	29	30	1
dense	40	16	dense_N40_seed16	ok	5	7	165	36	40	41	1
dense	40	17	dense_N40_seed17	ok	6	8	151	38	43	44	1
dense	40	18	dense_N40_seed18	ok	3	5	155	28	30	31	1
dense	40	19	dense_N40_seed19	ok	7	9	155	41	47	48	1
dense	40	20	dense_N40_seed20	ok	3	5	160	29	30	31	1
dense	40	21	dense_N40_seed21	ok	5	7	154	36	39	40	1
